gh_team_size,gh_num_issue_comments,gh_num_commit_comments,gh_num_pr_comments,git_diff_src_churn,git_diff_test_churn,gh_diff_files_added,gh_diff_files_deleted,gh_diff_files_modified,gh_diff_tests_added,gh_diff_tests_deleted,gh_diff_src_files,gh_diff_doc_files,gh_diff_other_files,tr_log_num_tests_ok,tr_log_num_tests_failed,tr_log_num_tests_run,tr_log_num_tests_skipped,tr_log_testduration,gh_test_lines_per_kloc,gh_test_cases_per_kloc,gh_asserts_cases_per_kloc,gh_description_complexity,tr_jobs,gh_num_commits_on_files_touched,gh_sloc,tr_log_setup_time,tr_log_buildduration,gh_is_pr,tr_log_bool_tests_ran,tr_log_bool_tests_failed,gh_by_core_team_member,tr_duration
95,,0,,2,0,0,0,1,0,0,1,0,0,,,,,,268.500282811212,0.204441839703968,3.0189244996286,,"[15298004, 15298005, 15298006, 15298007, 15298008, 15298009, 15298010]",38,146741,,,false,false,,true,2273
95,,0,,2,0,0,0,1,0,0,1,0,0,,,,,,268.500282811212,0.204441839703968,3.0189244996286,,"[15325993, 15325994, 15325995, 15325996, 15325997, 15325998, 15325999]",41,146741,,,false,false,,true,2275
95,,0,,4,0,0,0,1,0,0,1,0,0,,,,,,268.496623348303,0.20443905331089,3.01888335389082,,"[15328536, 15328537, 15328538, 15328539, 15328540, 15328541, 15328542]",67,146743,,,false,false,,true,2572
92,,0,,4,0,0,0,1,0,0,1,0,0,,,,,,267.291124837451,0.203185955786736,3.0003792804508,,"[15588733, 15588736, 15588738, 15588739, 15588740, 15588742, 15588743]",117,147648,,,false,false,,true,2292
83,,0,,16,0,0,0,1,0,0,1,0,0,,,,,,259.21151729332,0.26070331962227,2.33908811772203,,"[42762908, 42762909, 42762910, 42762911, 42762912, 42762913, 42762914, 42762915, 42762916]",256,138088,86,,false,false,,true,65
92,,0,,2,0,0,0,1,0,0,1,0,0,,,,,,267.49090810767,0.202793137480228,2.99457866345803,,"[15722550, 15722551, 15722552, 15722553, 15722554, 15722555, 15722556]",4,147934,,,false,false,,true,2438
93,,0,,4,0,0,0,1,0,0,1,0,0,,,,,,267.576061427889,0.20188832883571,2.98121765580732,,"[15789041, 15789042, 15789043, 15789044, 15789045, 15789046, 15789047]",51,148597,,,false,false,,true,2424
93,,0,,334,26,1,0,20,0,0,21,0,0,,,,,,267.50598552713,0.208484652839426,2.97931294218922,,"[15833791, 15833792, 15833793, 15833794, 15833795, 15833796, 15833797]",216,148692,,,false,false,,true,2224
93,,0,,6,0,0,0,3,0,0,3,0,0,,,,,,267.452024582779,0.208442597598203,2.97871195922594,,"[15935984, 15935985, 15935986, 15935987, 15935988, 15935989, 15935990]",62,148722,,,false,false,,true,2177
91,2,0,0,10,0,0,0,2,0,0,2,0,0,,,,,,269.180778900432,0.208718751482378,3.13078127223566,62.0,"[5999057, 5999060, 5999059]",296,105405,,,true,false,,true,526
